name,total_shares,sold_shares
8443945,1000.0,0.0
7657831,1000.0,0.0
4141918,1000.0,5.0
14733798,1000.0,6.0
18323396,1000.0,0.0
11948617,1000.0,0.0
2831793,1000.0,0.0
17104779,1000.0,0.0
6133101,1000.0,0.0
6337610,1000.0,0.0
7806847,1000.0,0.0
3872987,1000.0,0.0
14176480,1000.0,0.0
251683,1000.0,0.0
284905,1000.0,0.0
11750028,1000.0,95.0
14289060,1000.0,0.0
5783315,1000.0,0.0
13080423,1000.0,0.0
7728757,1000.0,0.0
718454,1000.0,0.0
11345747,1000.0,0.0
3820683,1000.0,0.0
13652059,1000.0,0.0
3213239,1000.0,0.0
4185400,1000.0,0.0
11053358,1000.0,0.0
8236827,1000.0,0.0
10656864,1000.0,0.0
8573172,1000.0,0.0
7068158,1000.0,0.0
4301976,1000.0,0.0
11843859,1000.0,0.0
5189431,1000.0,0.0
14935968,1000.0,0.0
14165027,1000.0,0.0
1093361,1000.0,0.0
12529846,1000.0,0.0
14547194,1000.0,0.0
2705430,1000.0,0.0
9650310,1000.0,0.0
11170841,1000.0,0.0
1825928,1000.0,0.0
6137858,1000.0,0.0
1545031,1000.0,0.0
12498437,1000.0,0.0
11285958,1000.0,0.0
7630971,1000.0,0.0
22603358,1000.0,0.0
4595465,1000.0,0.0
12902063,1000.0,0.0
